,RandomForestClassifier(),SVC(),GaussianNB(),KNeighborsClassifier(),LogisticRegression(),LGBMClassifier(verbosity=-1),"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, objective='multi:softprob', ...)",MLPClassifier(),pairs_num
acc,0.4357142857142857,0.4357142857142857,0.20238095238095238,0.4357142857142857,0.43333333333333335,0.4357142857142857,0.4357142857142857,0.4976190476190476,10
precision_weighted,0.22045225116091258,0.22045225116091258,0.10196081259073385,0.22045225116091258,0.22039120109986252,0.22045225116091258,0.22045225116091258,0.27088969648024763,10
precision_macro,0.2709872804360993,0.2709872804360993,0.21954371088229357,0.2709872804360993,0.2708523276695676,0.2709872804360993,0.2709872804360993,0.28463557439935394,10
f1_weighted,0.28059059400886455,0.28059059400886455,0.11387838907865608,0.28059059400886455,0.2793846570886419,0.28059059400886455,0.28059059400886455,0.3415527278104918,10
f1_macro,0.30745952339880234,0.30745952339880234,0.2413278310474572,0.30745952339880234,0.30479376810146813,0.30745952339880234,0.30745952339880234,0.32131564088085823,10
recall_weighted,0.4357142857142857,0.4357142857142857,0.20238095238095238,0.4357142857142857,0.43333333333333335,0.4357142857142857,0.4357142857142857,0.4976190476190476,10
recall_macro,0.39863013698630134,0.39863013698630134,0.4,0.39863013698630134,0.3933669790915645,0.39863013698630134,0.39863013698630134,0.4,10
acc,0.44285714285714284,0.4380952380952381,0.14047619047619048,0.4976190476190476,0.44047619047619047,0.44047619047619047,0.4380952380952381,0.4380952380952381,20
precision_weighted,0.6286450762641239,0.6279432555748344,0.4973453749315818,0.27088969648024763,0.6308273965754281,0.6308273965754281,0.6279432555748344,0.6279432555748344,20
precision_macro,0.47159137159137166,0.47118758434547914,0.40442086648983205,0.28463557439935394,0.47664041994750656,0.47664041994750656,0.47118758434547914,0.47118758434547914,20
f1_weighted,0.2957251713052112,0.28568848137491315,0.10724655133272704,0.3415527278104918,0.2878190661110656,0.2878190661110656,0.28568848137491315,0.28568848137491315,20
f1_macro,0.31498617202749873,0.3099943384937637,0.22252699722800115,0.32131564088085823,0.31314152067428624,0.31314152067428624,0.3099943384937637,0.3099943384937637,20
recall_weighted,0.44285714285714284,0.4380952380952381,0.14047619047619048,0.4976190476190476,0.44047619047619047,0.44047619047619047,0.4380952380952381,0.4380952380952381,20
recall_macro,0.4021389089161259,0.3997997276295762,0.4035087719298246,0.4,0.4011695906432749,0.4011695906432749,0.3997997276295762,0.3997997276295762,20
acc,0.44285714285714284,0.4380952380952381,0.1380952380952381,0.4976190476190476,0.4523809523809524,0.44047619047619047,0.44047619047619047,0.44761904761904764,30
precision_weighted,0.6286450762641239,0.6279432555748344,0.4973562881562882,0.27088969648024763,0.6325987841945289,0.6308273965754281,0.6282932400346648,0.6318846056941295,30
precision_macro,0.47159137159137166,0.47118758434547914,0.4044717948717949,0.28463557439935394,0.47765957446808505,0.47664041994750656,0.47138894526757324,0.4772486772486772,30
f1_weighted,0.2957251713052112,0.28568848137491315,0.10264072784228354,0.3415527278104918,0.3125326629125577,0.2878190661110656,0.2907330232846335,0.302799813054993,30
f1_macro,0.31498617202749873,0.3099943384937637,0.22034748554626765,0.32131564088085823,0.3254367166699136,0.31314152067428624,0.31250306533543526,0.32059323882224644,30
recall_weighted,0.44285714285714284,0.4380952380952381,0.1380952380952381,0.4976190476190476,0.4523809523809524,0.44047619047619047,0.44047619047619047,0.44761904761904764,30
recall_macro,0.4021389089161259,0.3997997276295762,0.40233918128654966,0.4,0.40701754385964917,0.4011695906432749,0.4009693182728511,0.40467836257309936,30
acc,0.4380952380952381,0.44047619047619047,0.14047619047619048,0.4976190476190476,0.44047619047619047,0.44285714285714284,0.4380952380952381,0.45,40
precision_weighted,0.39752471655328797,0.6282932400346648,0.29369682869682867,0.27088969648024763,0.42696078431372547,0.6311779448621554,0.39752471655328797,0.4962548262548262,40
precision_macro,0.3619809523809524,0.47138894526757324,0.3040609840609841,0.28463557439935394,0.3764705882352941,0.4768421052631579,0.3619809523809524,0.41063063063063066,40
f1_weighted,0.2950236149151373,0.2907330232846335,0.11125302665400243,0.3415527278104918,0.2998629954775206,0.29286473067435287,0.2950236149151373,0.31874595307687187,40
f1_macro,0.3165304405960879,0.31250306533543526,0.22386691808450715,0.32131564088085823,0.31893854748603345,0.31565089342622915,0.3165304405960879,0.3283390519761088,40
recall_weighted,0.4380952380952381,0.44047619047619047,0.14047619047619048,0.4976190476190476,0.44047619047619047,0.44285714285714284,0.4380952380952381,0.45,40
recall_macro,0.3993991828887287,0.4009693182728511,0.3935672514619883,0.4,0.4005687735320036,0.40233918128654966,0.3993991828887287,0.405247136105103,40
acc,0.47619047619047616,0.45,0.16428571428571428,0.24285714285714285,0.46904761904761905,0.45714285714285713,0.4666666666666667,0.46904761904761905,50
precision_weighted,0.5918105703819989,0.5719079706474663,0.38090420422412374,0.5194613163933433,0.5383797840465826,0.5884463168645474,0.5331524598789792,0.5816231996885949,50
precision_macro,0.457997557997558,0.44384047325223797,0.34674302223598,0.4352800414527298,0.4316053291122543,0.4560619600834078,0.4290055248618785,0.452897366030881,50
f1_weighted,0.35843937575030016,0.31061347694574015,0.1565939986462535,0.19093218123937797,0.35442612942612944,0.3222442425910634,0.35013211699322927,0.34525366582525613,50
f1_macro,0.3483722377840025,0.32242420500847463,0.2458107743462971,0.2809098518313462,0.34615384615384615,0.3303018625561978,0.3440120377622954,0.34179714519273097,50
recall_weighted,0.47619047619047616,0.45,0.16428571428571428,0.24285714285714285,0.46904761904761905,0.45714285714285713,0.4666666666666667,0.46904761904761905,50
recall_macro,0.41871345029239765,0.4056476808459505,0.3953216374269006,0.41699758480043503,0.4146038612513018,0.4093567251461988,0.4134342706080269,0.4152046783625731,50
acc,0.4976190476190476,0.45476190476190476,0.16428571428571428,0.23809523809523808,0.4857142857142857,0.45714285714285713,0.4928571428571429,0.4880952380952381,60
precision_weighted,0.6130532488857612,0.5855577218480444,0.3556322904148991,0.7263754662384799,0.571632555601037,0.5884463168645474,0.5892331867860233,0.5554931488264823,60
precision_macro,0.5880328407224958,0.45060656189688447,0.3343974865713996,0.7206252195293291,0.5674689589302769,0.4560619600834078,0.5762328513162773,0.43635327635327636,60
f1_weighted,0.4022684880403774,0.3201046315332029,0.1559679743626724,0.18157273278739613,0.3898539461012809,0.3222442425910634,0.39926315898548465,0.3865676451940303,60
f1_macro,0.40422427035330255,0.3271494871494871,0.24562772975144104,0.2950498692106299,0.397805776313239,0.3303018625561978,0.4025799456753079,0.36025433469200546,60
recall_weighted,0.4976190476190476,0.45476190476190476,0.16428571428571428,0.23809523809523808,0.4857142857142857,0.45714285714285713,0.4928571428571429,0.4880952380952381,60
recall_macro,0.4487222622766963,0.4079868621325001,0.3953216374269006,0.42768565248738283,0.44227349194905063,0.4093567251461988,0.44598253624929907,0.4239605863975006,60
acc,0.4880952380952381,0.45,0.16666666666666666,0.23809523809523808,0.4880952380952381,0.45714285714285713,0.49523809523809526,0.5,70
precision_weighted,0.5751006409237778,0.5719079706474663,0.44254818404507845,0.7263754662384799,0.5751006409237778,0.5884463168645474,0.600767498976668,0.4473922902494331,70
precision_macro,0.5692065257693735,0.44384047325223797,0.3844494346233477,0.7206252195293291,0.5692065257693735,0.4560619600834078,0.581948424068768,0.38994708994708993,70
f1_weighted,0.3938246770227713,0.31061347694574015,0.16062303936556352,0.18157273278739613,0.3938246770227713,0.3222442425910634,0.40076533432610195,0.3518927920895134,70
f1_macro,0.39979003105631555,0.32242420500847463,0.2483884034686365,0.2950498692106299,0.39979003105631555,0.3303018625561978,0.4034020374318882,0.3291948998178506,70
recall_weighted,0.4880952380952381,0.45,0.16666666666666666,0.23809523809523808,0.4880952380952381,0.45714285714285713,0.49523809523809526,0.5,70
recall_macro,0.4434430825923255,0.4056476808459505,0.3966915004405992,0.42768565248738283,0.4434430825923255,0.4093567251461988,0.44735239926299775,0.4015701353841224,70
acc,0.4857142857142857,0.4452380952380952,0.16666666666666666,0.24285714285714285,0.4880952380952381,0.45714285714285713,0.4928571428571429,0.4785714285714286,80
precision_weighted,0.5745047521658101,0.628998778998779,0.44255379775187925,0.9002245770102912,0.5681442834622025,0.5884463168645474,0.5818972332015809,0.5961444356748224,80
precision_macro,0.5688636856620496,0.4717948717948718,0.38447563192175127,0.8206959706959708,0.5657733403398144,0.4560619600834078,0.5726482213438736,0.460110497237569,80
f1_weighted,0.3928169697377073,0.3006658554956834,0.16063319388347774,0.18980395665525268,0.39626135006848273,0.3222442425910634,0.40207182669401775,0.36565910282157144,80
f1_macro,0.3992102542621692,0.3174441161133322,0.24843579121890308,0.2991764743904689,0.40093598414975745,0.3303018625561978,0.40394324736004383,0.3518695634249907,80
recall_weighted,0.4857142857142857,0.4452380952380952,0.16666666666666666,0.24285714285714285,0.4880952380952381,0.45714285714285713,0.4928571428571429,0.4785714285714286,80
recall_macro,0.4420732195786269,0.4033084995594008,0.3966915004405992,0.4300248337739325,0.4432428102219018,0.4093567251461988,0.4457822638788752,0.4196827685652488,80
acc,0.5071428571428571,0.45714285714285713,0.17142857142857143,0.25,0.49523809523809526,0.46190476190476193,0.5,0.49047619047619045,90
precision_weighted,0.6215136501263668,0.6307958170861396,0.4242367608077765,0.7706232193732193,0.5856220586217196,0.5999195624195625,0.6157471264367816,0.5604397792569836,90
precision_macro,0.5923279033105623,0.47282878411910667,0.3755489212136611,0.570982905982906,0.5745776120246369,0.4617117117117117,0.5894252873563219,0.4427718040621267,90
f1_weighted,0.41788007886081263,0.32462844105701244,0.16726585275616143,0.20268348161053326,0.4051028942934435,0.33478962051207567,0.4066304435847697,0.39129245060177187,90
f1_macro,0.4120311539249846,0.32937170937170934,0.25182253592303844,0.28776445636020104,0.401397100289892,0.33644681662218834,0.4064357219109772,0.36459549375460687,90
recall_weighted,0.5071428571428571,0.45714285714285713,0.17142857142857143,0.25,0.49523809523809526,0.46190476190476193,0.5,0.49047619047619045,90
recall_macro,0.4534006248497957,0.40915645277577506,0.3990306817271489,0.4239926299767685,0.4391652647600737,0.4114956340623247,0.44989185291997114,0.4251301770407755,90
acc,0.5047619047619047,0.45714285714285713,0.1738095238095238,0.2571428571428571,0.5047619047619047,0.46190476190476193,0.5071428571428571,0.4976190476190476,100
precision_weighted,0.6186608444398167,0.5904467515114415,0.42975798730671294,0.7186445171557531,0.6036780991466354,0.5999195624195625,0.6320482343723024,0.5670232823527952,100
precision_macro,0.5312985908649174,0.4530389107747598,0.3782850882251182,0.5412762892538173,0.5537277701778386,0.4617117117117117,0.5975519816553562,0.4461578536077104,100
f1_weighted,0.4172565140575658,0.32477992768006037,0.17099985007777213,0.21448122735890388,0.41635605144813703,0.33478962051207567,0.41599253562811267,0.40050038197097015,100
f1_macro,0.40744960560911475,0.3294777868188,0.2537001180637544,0.29388455809355263,0.4096836960948459,0.33644681662218834,0.41118784147322296,0.36930481283422456,100
recall_weighted,0.5047619047619047,0.45714285714285713,0.1738095238095238,0.2571428571428571,0.5047619047619047,0.46190476190476193,0.5071428571428571,0.4976190476190476,100
recall_macro,0.45203076183609714,0.40915645277577506,0.40020027237042377,0.42750140190659297,0.45203076183609714,0.4114956340623247,0.4536008972202195,0.4288392213410238,100
